Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,Year,Month,Day,WeekOfYear
604,5,2015-01-30,9572,642,1,1,0,0,4,1,10950.0,3.0,2014.0,0,0.0,0.0,None,2015,1,30,5
605,5,2015-01-30,8170,520,1,1,0,0,4,1,10310.0,4.0,2003.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",2015,1,30,5
606,5,2015-01-30,6907,674,1,1,0,0,1,1,2260.0,11.0,2007.0,0,0.0,0.0,None,2015,1,30,5
607,5,2015-01-30,4478,489,1,1,0,0,1,1,350.0,8.0,1999.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2015,1,30,5
608,5,2015-01-30,11872,1056,1,1,0,0,1,3,18370.0,2.0,2013.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2015,1,30,5
609,5,2015-01-30,5556,552,1,1,0,0,1,1,2070.0,9.0,2007.0,0,0.0,0.0,None,2015,1,30,5
610,5,2015-01-30,4383,550,1,1,0,0,1,1,660.0,1.0,2007.0,0,0.0,0.0,None,2015,1,30,5
611,5,2015-01-30,5335,431,1,1,0,0,1,1,8080.0,12.0,2002.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2015,1,30,5
612,5,2015-01-30,9028,510,1,1,0,0,4,3,2490.0,11.0,2012.0,1,31.0,2009.0,"Jan,Apr,Jul,Oct",2015,1,30,5
613,5,2015-01-30,7877,1026,1,1,0,0,3,1,250.0,6.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2015,1,30,5
614,5,2015-01-30,5967,732,1,1,0,0,1,1,1160.0,12.0,2012.0,0,0.0,0.0,None,2015,1,30,5
615,5,2015-01-30,11073,1348,1,1,0,0,4,1,730.0,8.0,2007.0,0,0.0,0.0,None,2015,1,30,5
616,5,2015-01-30,10679,914,1,1,0,0,1,3,3040.0,8.0,2011.0,1,35.0,2010.0,"Mar,Jun,Sept,Dec",2015,1,30,5
617,5,2015-01-30,8774,706,1,1,0,0,1,3,8940.0,0.0,0.0,1,9.0,2011.0,"Jan,Apr,Jul,Oct",2015,1,30,5
618,5,2015-01-30,7524,533,1,1,0,0,4,3,9910.0,0.0,0.0,0,0.0,0.0,None,2015,1,30,5
619,5,2015-01-30,5942,545,1,1,0,0,1,1,1600.0,6.0,2006.0,1,45.0,2009.0,"Feb,May,Aug,Nov",2015,1,30,5
620,5,2015-01-30,8423,708,1,1,0,0,4,3,5440.0,0.0,0.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2015,1,30,5
621,5,2015-01-30,7642,979,1,1,0,0,1,1,30.0,7.0,2002.0,0,0.0,0.0,None,2015,1,30,5
622,5,2015-01-30,6338,578,1,1,0,0,1,3,75860.0,0.0,0.0,0,0.0,0.0,None,2015,1,30,5
623,5,2015-01-30,9972,1051,1,1,0,0,1,1,4080.0,3.0,2011.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2015,1,30,5
624,5,2015-01-30,9072,777,1,1,0,0,1,3,6920.0,9.0,2011.0,0,0.0,0.0,None,2015,1,30,5
625,5,2015-01-30,7425,683,1,1,0,0,1,1,1170.0,4.0,2011.0,1,22.0,2012.0,"Feb,May,Aug,Nov",2015,1,30,5
626,5,2015-01-30,11540,994,1,1,0,0,3,3,10740.0,11.0,2013.0,0,0.0,0.0,None,2015,1,30,5
627,5,2015-01-30,8120,782,1,1,0,0,3,3,3970.0,3.0,2010.0,0,0.0,0.0,None,2015,1,30,5
628,5,2015-01-30,11129,1075,1,1,0,0,1,3,2180.0,0.0,0.0,0,0.0,0.0,None,2015,1,30,5
629,5,2015-01-30,6175,547,1,1,0,0,4,1,510.0,7.0,2014.0,1,23.0,2015.0,"Mar,Jun,Sept,Dec",2015,1,30,5
630,5,2015-01-30,7505,768,1,1,0,0,1,1,1690.0,4.0,2015.0,0,0.0,0.0,None,2015,1,30,5
631,5,2015-01-30,7192,756,1,1,0,0,4,3,2870.0,0.0,0.0,1,35.0,2012.0,"Mar,Jun,Sept,Dec",2015,1,30,5
632,5,2015-01-30,8952,1050,1,1,0,0,1,1,3350.0,2.0,2010.0,0,0.0,0.0,None,2015,1,30,5
633,5,2015-01-30,9465,600,1,1,0,0,4,1,11640.0,4.0,2005.0,1,22.0,2011.0,"Jan,Apr,Jul,Oct",2015,1,30,5
634,5,2015-01-30,7892,732,1,1,0,0,4,1,18610.0,0.0,0.0,0,0.0,0.0,None,2015,1,30,5
635,5,2015-01-30,7725,745,1,1,0,0,1,1,27530.0,4.0,2014.0,0,0.0,0.0,None,2015,1,30,5
636,5,2015-01-30,7895,839,1,1,0,0,3,1,720.0,10.0,2004.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2015,1,30,5
637,5,2015-01-30,9750,717,1,1,0,0,4,3,9790.0,0.0,0.0,1,31.0,2009.0,"Feb,May,Aug,Nov",2015,1,30,5
638,5,2015-01-30,7363,583,1,1,0,0,4,1,10170.0,11.0,2001.0,0,0.0,0.0,None,2015,1,30,5
639,5,2015-01-30,6104,558,1,1,0,0,1,1,7780.0,11.0,2006.0,0,0.0,0.0,None,2015,1,30,5
640,5,2015-01-30,12660,842,1,1,0,0,4,3,8040.0,0.0,0.0,0,0.0,0.0,None,2015,1,30,5
641,5,2015-01-30,6435,533,1,1,0,0,1,3,610.0,12.0,2003.0,1,36.0,2013.0,"Mar,Jun,Sept,Dec",2015,1,30,5
642,5,2015-01-30,3904,461,1,1,0,0,3,3,530.0,4.0,2005.0,1,35.0,2010.0,"Mar,Jun,Sept,Dec",2015,1,30,5
643,5,2015-01-30,12886,1423,1,1,0,0,1,1,230.0,6.0,2010.0,1,18.0,2010.0,"Feb,May,Aug,Nov",2015,1,30,5
644,5,2015-01-30,10978,1119,1,1,0,0,3,1,4030.0,12.0,2004.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2015,1,30,5
645,5,2015-01-30,14992,1527,1,1,0,0,1,1,90.0,0.0,0.0,1,45.0,2009.0,"Feb,May,Aug,Nov",2015,1,30,5
646,5,2015-01-30,5445,722,1,1,0,0,1,1,620.0,9.0,2014.0,0,0.0,0.0,None,2015,1,30,5
647,5,2015-01-30,8923,914,1,1,0,0,1,3,7420.0,4.0,2013.0,0,0.0,0.0,None,2015,1,30,5
648,5,2015-01-30,7834,649,1,1,0,0,4,1,2130.0,12.0,2008.0,0,0.0,0.0,None,2015,1,30,5
649,5,2015-01-30,4948,426,1,1,0,0,1,1,14570.0,11.0,2002.0,0,0.0,0.0,None,2015,1,30,5
650,5,2015-01-30,7047,684,1,1,0,0,1,1,1420.0,10.0,2012.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2015,1,30,5
651,5,2015-01-30,8783,1070,1,1,0,0,1,1,200.0,0.0,0.0,0,0.0,0.0,None,2015,1,30,5
652,5,2015-01-30,9248,801,1,1,0,0,1,1,20390.0,0.0,0.0,0,0.0,0.0,None,2015,1,30,5
