Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,Year,Month,Day,WeekOfYear
948,5,2015-05-01,13571,2404,1,1,1,0,2,2,1430.0,0.0,0.0,0,0.0,0.0,None,2015,5,1,18
1081,5,2015-05-01,4374,651,1,1,1,0,2,1,400.0,3.0,2006.0,0,0.0,0.0,None,2015,5,1,18
1097,5,2015-05-01,17039,2917,1,1,1,0,2,2,720.0,3.0,2002.0,0,0.0,0.0,None,2015,5,1,18
1,6,2015-05-02,5850,653,1,0,0,0,3,1,1270.0,9.0,2008.0,0,0.0,0.0,None,2015,5,2,18
2,6,2015-05-02,3590,423,1,0,0,0,1,1,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2015,5,2,18
3,6,2015-05-02,6564,674,1,0,0,0,1,1,14130.0,12.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2015,5,2,18
4,6,2015-05-02,12750,1685,1,0,0,0,3,3,620.0,9.0,2009.0,0,0.0,0.0,None,2015,5,2,18
5,6,2015-05-02,3182,327,1,0,0,0,1,1,29910.0,4.0,2015.0,0,0.0,0.0,None,2015,5,2,18
6,6,2015-05-02,4033,432,1,0,0,0,1,1,310.0,12.0,2013.0,0,0.0,0.0,None,2015,5,2,18
7,6,2015-05-02,10015,946,1,0,0,0,1,3,24000.0,4.0,2013.0,0,0.0,0.0,None,2015,5,2,18
8,6,2015-05-02,4910,524,1,0,0,0,1,1,7520.0,10.0,2014.0,0,0.0,0.0,None,2015,5,2,18
9,6,2015-05-02,8120,732,1,0,0,0,1,3,2030.0,8.0,2000.0,0,0.0,0.0,None,2015,5,2,18
10,6,2015-05-02,6183,640,1,0,0,0,1,1,3160.0,9.0,2009.0,0,0.0,0.0,None,2015,5,2,18
11,6,2015-05-02,8082,1090,1,0,0,0,1,3,960.0,11.0,2011.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",2015,5,2,18
12,6,2015-05-02,7748,971,1,0,0,0,1,3,1070.0,0.0,0.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2015,5,2,18
13,6,2015-05-02,6634,468,1,0,0,0,4,1,310.0,0.0,0.0,1,45.0,2009.0,"Feb,May,Aug,Nov",2015,5,2,18
14,6,2015-05-02,4933,512,1,0,0,0,1,1,1300.0,3.0,2014.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct",2015,5,2,18
15,6,2015-05-02,8082,833,1,0,0,0,4,3,4110.0,3.0,2010.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2015,5,2,18
16,6,2015-05-02,7179,724,1,0,0,0,1,3,3270.0,0.0,0.0,0,0.0,0.0,None,2015,5,2,18
