Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,Year,Month,Day,WeekOfYear
431,2,2015-06-16,11327,1065,1,1,0,0,4,3,4520.0,0.0,0.0,0,0.0,0.0,None,2015,6,16,25
432,2,2015-06-16,13780,1776,1,1,0,0,1,1,810.0,5.0,2013.0,0,0.0,0.0,None,2015,6,16,25
433,2,2015-06-16,6611,712,1,1,0,0,1,3,30030.0,11.0,2010.0,0,0.0,0.0,None,2015,6,16,25
434,2,2015-06-16,10647,756,1,1,0,0,1,1,13020.0,8.0,2003.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2015,6,16,25
435,2,2015-06-16,4404,467,1,1,0,0,1,1,910.0,0.0,0.0,0,0.0,0.0,None,2015,6,16,25
436,2,2015-06-16,6838,716,1,1,0,0,4,1,2300.0,0.0,0.0,0,0.0,0.0,None,2015,6,16,25
437,2,2015-06-16,8539,737,1,1,0,0,3,3,430.0,0.0,0.0,1,50.0,2010.0,"Jan,Apr,Jul,Oct",2015,6,16,25
438,2,2015-06-16,7459,630,1,1,0,0,4,3,1110.0,0.0,0.0,1,40.0,2012.0,"Jan,Apr,Jul,Oct",2015,6,16,25
439,2,2015-06-16,9440,1011,1,1,0,0,1,1,1350.0,9.0,2009.0,0,0.0,0.0,None,2015,6,16,25
440,2,2015-06-16,6732,686,1,1,0,0,4,1,3900.0,4.0,2005.0,1,45.0,2009.0,"Feb,May,Aug,Nov",2015,6,16,25
441,2,2015-06-16,7207,726,1,1,0,0,4,1,2530.0,0.0,0.0,0,0.0,0.0,None,2015,6,16,25
442,2,2015-06-16,5874,549,1,1,0,0,3,1,500.0,0.0,0.0,1,45.0,2009.0,"Feb,May,Aug,Nov",2015,6,16,25
443,2,2015-06-16,6570,512,1,1,0,0,4,1,11400.0,12.0,2005.0,0,0.0,0.0,None,2015,6,16,25
