Store,DayOfWeek,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,Year,Month,Day
938,6,0,0,0,1,1,2820.0,2013,2,23
906,2,1,0,1,1,1,90.0,2014,4,15
551,5,1,0,1,1,3,2190.0,2014,5,2
406,6,0,0,0,4,3,8240.0,2014,6,21
71,3,1,0,0,1,1,17500.0,2013,7,3
908,3,1,0,0,1,1,1980.0,2014,10,8
365,5,0,0,0,3,1,2410.0,2015,3,27
919,3,0,0,1,1,1,2620.0,2013,9,4
567,4,1,0,0,3,1,1010.0,2015,4,16
703,2,0,0,0,1,1,80.0,2014,2,11
431,3,1,0,0,4,3,4520.0,2015,1,7
524,2,0,0,1,1,3,40860.0,2014,10,14
397,3,0,0,0,1,3,130.0,2014,5,14
618,4,0,0,0,4,3,9910.0,2013,11,14
574,5,1,0,0,4,1,4400.0,2015,4,17
280,5,0,0,0,4,3,18640.0,2013,10,4
155,5,1,0,1,4,1,3050.0,2015,2,20
877,3,0,0,0,1,3,29190.0,2014,1,29
42,2,1,0,0,1,3,290.0,2013,6,18
237,5,0,0,0,1,1,1420.0,2013,2,15
402,2,0,0,1,3,3,5830.0,2015,7,21
197,1,1,0,0,3,1,4210.0,2014,5,19
662,6,0,0,0,4,1,1070.0,2015,5,16
1034,6,0,0,0,1,1,13750.0,2013,6,15
820,4,1,0,0,1,3,1650.0,2013,3,7
889,2,0,0,0,4,1,18670.0,2014,7,8
316,2,0,0,1,4,1,9000.0,2015,5,26
1055,6,0,0,0,3,1,1980.0,2013,10,5
402,3,1,0,0,3,3,5830.0,2014,7,2
1054,4,1,0,0,1,3,13190.0,2014,6,5
589,3,0,0,0,1,3,360.0,2014,3,12
906,3,1,0,0,1,1,90.0,2013,12,18
753,3,1,0,1,4,3,540.0,2014,4,16
242,5,1,0,0,4,1,6880.0,2015,6,5
483,1,1,0,1,1,3,2310.0,2015,7,27
723,2,1,0,0,4,3,5650.0,2015,2,3
1019,3,0,0,0,4,3,2740.0,2013,12,11
836,2,0,0,1,1,1,2720.0,2013,5,21
646,3,0,0,0,1,1,620.0,2014,4,9
471,4,0,0,1,4,1,5300.0,2013,8,22
813,6,0,0,0,1,1,1560.0,2014,1,25
167,2,0,0,0,1,1,140.0,2013,1,29
95,3,1,0,0,1,1,1890.0,2013,4,24
945,4,0,0,0,1,3,12480.0,2015,5,28
926,3,1,0,1,4,3,5150.0,2014,7,16
280,6,0,0,0,4,3,18640.0,2015,5,23
1092,3,1,0,1,1,1,300.0,2013,3,27
552,3,1,0,0,1,1,4260.0,2014,5,7
998,4,0,0,1,1,1,780.0,2014,8,14
705,5,0,0,0,1,1,4140.0,2013,6,28
807,2,0,0,0,1,1,3870.0,2013,5,21
240,2,0,0,1,1,1,1110.0,2013,12,24
1080,2,0,0,0,1,1,2410.0,2014,3,25
257,5,0,0,0,1,1,420.0,2014,3,14
195,1,0,0,0,1,3,220.0,2015,6,8
1029,6,0,0,0,1,1,1590.0,2013,3,23
1025,5,0,0,0,1,1,720.0,2013,4,19
37,4,1,0,0,3,1,4230.0,2013,5,2
1107,5,1,0,0,1,1,1400.0,2013,5,3
341,5,0,0,1,1,1,190.0,2014,1,3
352,3,1,0,1,4,3,6360.0,2013,3,27
353,4,0,0,0,2,2,900.0,2015,6,25
604,6,0,0,0,4,1,10950.0,2015,5,9
573,5,1,0,0,1,1,1190.0,2015,3,20
151,1,1,0,0,4,3,4360.0,2015,6,1
429,6,0,0,0,4,3,16350.0,2014,3,29
238,1,1,0,0,1,1,320.0,2014,3,31
668,5,0,0,0,3,1,1270.0,2013,11,29
850,5,1,0,0,4,1,1120.0,2014,1,10
141,6,0,0,0,3,3,1540.0,2013,1,12
50,1,1,0,1,4,1,6260.0,2015,7,27
370,3,1,0,0,4,1,8250.0,2013,9,25
721,4,0,0,0,1,3,3590.0,2013,9,19
348,2,1,0,0,1,1,16490.0,2013,6,18
852,5,1,0,0,3,1,940.0,2014,11,7
389,4,1,0,1,1,3,6690.0,2015,3,5
467,1,1,0,0,1,3,20390.0,2014,5,5
408,3,1,0,0,3,1,1560.0,2013,7,3
264,5,0,0,1,1,1,180.0,2013,5,10
361,1,0,0,0,3,3,4490.0,2014,4,7
801,2,0,0,0,4,1,48330.0,2013,4,16
423,2,1,0,0,2,1,1270.0,2014,9,16
485,6,0,0,0,4,3,3270.0,2013,2,9
857,2,0,0,1,3,1,6270.0,2013,12,24
922,4,1,0,0,4,1,2110.0,2014,5,22
467,2,1,0,0,1,3,20390.0,2013,4,30
248,2,1,0,0,1,3,340.0,2013,8,13
341,5,1,0,0,1,1,190.0,2015,4,17
648,2,0,0,1,4,1,2130.0,2014,8,12
499,1,1,0,0,3,3,450.0,2015,4,13
337,6,0,0,1,4,3,10600.0,2014,8,9
1069,2,0,0,0,1,3,18050.0,2015,2,10
250,1,1,0,0,4,1,3520.0,2014,10,6
507,3,1,0,0,1,3,9070.0,2013,2,6
504,2,0,0,0,3,3,820.0,2013,1,29
41,2,0,0,0,4,3,1180.0,2013,7,9
897,6,0,0,0,3,3,3290.0,2015,3,7
804,2,0,0,0,3,3,2100.0,2014,2,11
605,1,1,0,0,4,1,10310.0,2015,7,13
937,4,1,0,0,4,1,2810.0,2013,4,25
569,4,1,0,0,1,1,1340.0,2013,11,7
131,2,0,0,0,3,1,920.0,2015,4,21
54,1,0,0,1,4,3,7170.0,2014,7,21
282,5,1,0,0,1,1,1220.0,2015,5,22
926,1,0,0,0,4,3,5150.0,2015,3,23
78,5,0,0,0,1,1,3510.0,2014,3,28
687,3,1,0,0,4,3,2770.0,2014,10,1
564,6,0,0,0,4,3,6540.0,2013,10,26
107,1,1,0,0,1,1,1930.0,2014,9,15
231,4,1,0,0,4,3,3840.0,2015,1,15
253,1,1,0,0,1,3,250.0,2015,4,27
452,1,1,0,0,1,3,1850.0,2015,2,16
167,3,0,0,0,1,1,140.0,2014,5,14
388,2,1,0,0,1,1,2260.0,2015,2,3
356,2,1,0,0,4,3,8970.0,2014,4,1
184,2,0,0,0,4,3,3560.0,2014,9,23
122,3,1,0,0,1,3,58260.0,2013,6,5
1031,4,0,0,0,4,1,590.0,2015,1,22
356,5,0,0,0,4,3,8970.0,2015,6,26
50,2,1,0,0,4,1,6260.0,2015,2,17
879,2,0,0,0,4,1,75860.0,2014,1,14
741,6,0,0,0,4,3,11900.0,2015,5,16
616,4,0,0,0,1,3,3040.0,2014,12,11
22,3,0,0,0,1,1,1040.0,2015,5,13
14,4,0,0,0,1,1,1300.0,2014,9,11
815,1,0,0,0,1,1,590.0,2013,11,25
824,1,1,0,0,1,1,17570.0,2015,7,13
672,1,0,0,1,3,1,240.0,2013,8,5
955,4,1,0,0,4,3,1690.0,2014,11,27
26,3,1,0,0,4,1,2300.0,2014,2,5
126,5,1,0,0,4,1,3370.0,2014,6,6
887,3,1,0,0,4,1,19700.0,2013,2,6
678,5,1,0,0,3,1,3250.0,2013,3,22
984,5,0,0,1,3,1,440.0,2013,8,23
983,6,0,0,0,1,1,40.0,2013,7,6
