Store,DayOfWeek,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,Year,Month,Day
190,4,1,0,0,1,1,1470.0,2013,10,24
1114,4,1,0,1,1,3,870.0,2014,7,17
325,4,1,0,1,1,3,350.0,2013,8,1
291,1,1,0,0,4,1,75860.0,2014,1,6
985,2,0,0,0,3,3,490.0,2014,10,14
982,5,0,0,0,4,1,21930.0,2013,6,28
524,5,0,0,0,1,3,40860.0,2014,3,14
818,5,0,0,0,4,1,490.0,2014,6,27
882,5,0,0,0,1,1,30.0,2014,1,31
915,4,0,0,0,4,3,650.0,2015,7,23
299,2,1,0,1,4,3,38630.0,2013,7,30
43,2,1,0,0,4,1,4880.0,2013,5,14
221,2,1,0,0,4,3,13530.0,2014,11,25
1114,4,1,0,0,1,3,870.0,2015,7,2
460,4,0,0,0,1,1,34050.0,2014,4,24
228,2,0,0,0,4,3,10800.0,2015,2,24
1049,1,0,0,0,1,1,370.0,2015,5,11
673,3,1,0,1,4,3,15170.0,2013,8,28
597,5,0,0,0,1,1,150.0,2015,2,27
997,5,0,0,1,4,3,5840.0,2014,4,25
357,2,0,0,1,1,1,2060.0,2014,4,22
829,5,1,0,1,3,1,110.0,2015,7,31
325,1,1,0,1,1,3,350.0,2013,10,21
963,3,1,0,0,1,3,23620.0,2014,5,21
697,4,1,0,0,4,1,3780.0,2014,9,18
826,4,1,0,1,1,3,7980.0,2014,10,9
1073,4,1,0,0,1,3,1710.0,2013,2,7
670,4,0,0,0,1,1,2060.0,2013,11,28
254,2,1,0,0,4,1,330.0,2015,6,16
966,2,0,0,0,1,1,760.0,2014,4,8
70,5,0,0,1,3,3,4840.0,2014,4,11
653,3,1,0,0,4,3,7520.0,2015,3,4
169,4,1,0,0,4,1,980.0,2014,9,18
578,4,0,0,1,4,1,12700.0,2013,6,27
995,4,1,1,0,4,1,6560.0,2014,6,19
819,5,0,0,1,1,3,720.0,2015,7,24
456,3,0,0,0,1,3,140.0,2015,4,22
710,6,0,0,0,4,1,1500.0,2013,9,14
710,1,1,0,0,4,1,1500.0,2013,12,16
350,5,1,0,0,4,1,8880.0,2013,12,20
446,4,0,0,0,1,1,340.0,2013,2,28
798,2,0,0,1,1,1,9560.0,2013,12,24
1110,2,0,0,0,3,3,900.0,2014,3,25
431,2,0,0,0,4,3,4520.0,2013,7,9
913,5,0,0,0,1,1,280.0,2015,3,13
820,1,1,0,1,1,3,1650.0,2014,3,3
999,4,0,0,0,4,3,15140.0,2013,11,28
301,6,0,0,0,1,3,4510.0,2013,8,3
107,3,1,0,0,1,1,1930.0,2013,11,20
718,1,0,0,1,1,1,1100.0,2014,8,25
781,5,0,0,0,1,1,630.0,2014,2,14
56,3,1,0,0,4,3,6620.0,2014,10,1
320,5,1,0,0,1,3,210.0,2014,1,10
459,3,0,0,0,1,1,250.0,2013,5,22
759,5,1,0,1,1,1,110.0,2014,7,18
658,2,1,0,0,4,3,520.0,2013,4,23
