Store,DayOfWeek,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,Year,Month,Day
740,1,1,0,0,4,1,6400.0,2014,11,3
923,6,0,0,0,1,1,280.0,2013,11,2
237,1,1,0,1,1,1,1420.0,2014,2,3
830,2,0,0,1,1,3,6320.0,2014,8,26
1020,6,0,0,0,1,1,40.0,2014,2,1
1088,1,1,0,1,1,1,4300.0,2013,8,26
19,1,1,0,1,1,3,3240.0,2014,8,18
880,6,0,0,0,1,3,4570.0,2013,11,16
175,2,0,0,0,3,1,4130.0,2014,6,24
976,1,1,0,0,1,1,4180.0,2013,11,18
364,2,0,0,0,1,3,13620.0,2013,12,10
390,3,1,0,0,1,3,1600.0,2013,3,6
481,6,0,0,1,3,3,7470.0,2013,8,10
230,6,0,0,0,4,3,6680.0,2015,3,28
8,4,0,0,0,1,1,7520.0,2015,2,12
204,6,0,0,0,1,1,5630.0,2015,6,6
8,6,0,0,0,1,1,7520.0,2015,5,30
363,3,0,0,1,1,1,250.0,2014,7,23
773,4,0,0,1,1,1,200.0,2014,8,14
102,1,1,0,0,1,1,150.0,2014,9,1
1050,2,1,0,1,4,3,13170.0,2013,7,30
524,2,1,0,0,1,3,40860.0,2015,3,17
165,1,1,0,0,1,1,3720.0,2015,3,16
727,2,1,0,1,1,1,2050.0,2013,10,22
71,5,0,0,1,1,1,17500.0,2013,7,26
993,6,0,0,0,4,3,3460.0,2014,9,27
266,6,0,0,0,1,3,360.0,2014,9,6
841,1,1,0,0,1,1,27650.0,2015,6,15
31,5,0,0,1,4,3,9800.0,2014,7,25
627,5,1,0,0,3,3,3970.0,2014,4,4
263,5,1,0,0,1,3,1140.0,2015,3,6
475,5,0,0,0,1,1,140.0,2013,9,20
716,5,1,0,0,4,1,3200.0,2015,1,30
748,3,0,0,0,4,1,2380.0,2013,10,2
336,5,1,0,0,1,1,190.0,2013,9,27
814,1,1,0,0,4,3,24530.0,2013,4,22
481,2,1,0,0,3,3,7470.0,2015,5,19
155,3,1,0,1,4,1,3050.0,2013,7,31
178,3,0,0,0,4,1,1710.0,2013,10,2
1066,4,0,0,0,1,1,3350.0,2013,1,31
614,1,1,0,1,1,1,1160.0,2015,7,27
960,1,0,0,1,4,1,8990.0,2013,8,5
785,6,0,0,0,4,3,970.0,2014,7,12
982,5,0,0,0,4,1,21930.0,2013,11,29
853,6,0,0,0,1,1,14040.0,2015,3,7
640,4,1,0,1,4,3,8040.0,2014,7,17
811,1,0,0,1,1,1,410.0,2013,12,23
283,3,0,0,0,1,1,2260.0,2013,11,27
474,5,0,0,1,3,1,14810.0,2013,7,26
605,6,0,0,0,4,1,10310.0,2015,2,28
808,1,0,0,1,1,1,18620.0,2015,7,20
405,1,1,0,0,1,1,1080.0,2014,6,16
960,5,0,0,0,4,1,8990.0,2013,9,20
1023,1,0,0,0,3,1,3740.0,2014,1,27
683,1,1,0,1,1,1,2850.0,2014,2,3
497,5,0,0,0,1,3,1610.0,2013,3,1
367,5,0,0,1,4,3,2640.0,2015,5,15
497,2,0,0,1,1,3,1610.0,2013,8,6
1065,6,0,0,0,1,1,1290.0,2013,7,13
577,3,0,0,0,1,3,2270.0,2013,8,7
179,1,1,0,0,1,3,480.0,2014,4,28
218,4,1,0,0,1,3,640.0,2015,4,16
379,1,0,0,0,4,1,6630.0,2015,6,8
589,2,0,0,0,1,3,360.0,2013,9,17
494,4,1,0,0,2,1,1260.0,2013,11,7
366,2,0,0,0,4,3,6470.0,2015,5,26
443,6,0,0,0,4,1,11400.0,2014,11,15
386,1,1,0,0,4,3,1460.0,2014,3,31
59,5,0,0,0,1,3,2840.0,2015,6,12
306,2,1,0,1,1,1,5100.0,2014,4,15
582,5,1,0,0,1,1,120.0,2014,2,21
730,4,1,0,0,3,1,1190.0,2015,6,4
17,1,1,0,1,1,1,50.0,2014,10,6
354,6,0,0,0,4,3,1500.0,2014,1,18
423,4,0,1,1,2,1,1270.0,2015,1,1
879,3,1,0,1,4,1,75860.0,2015,4,1
258,2,0,0,1,1,1,27190.0,2013,9,3
151,3,1,0,0,4,3,4360.0,2014,11,26
260,5,0,0,1,1,1,540.0,2014,1,3
543,3,1,0,0,3,1,1080.0,2014,5,21
171,6,0,0,0,1,1,2640.0,2015,4,18
479,3,1,0,0,1,1,320.0,2014,9,17
834,1,1,0,0,1,1,3470.0,2014,11,10
340,4,0,0,0,1,3,8080.0,2013,9,5
919,6,0,0,0,1,1,2620.0,2014,5,31
530,7,0,0,0,1,3,18160.0,2015,7,26
606,2,1,0,0,1,1,2260.0,2014,11,25
350,6,0,0,0,4,1,8880.0,2013,6,15
485,4,1,0,0,4,3,3270.0,2013,9,12
592,5,1,0,0,1,1,2540.0,2014,2,21
274,4,0,3,1,2,2,3640.0,2014,12,25
1003,2,0,0,0,1,1,170.0,2013,3,12
627,1,1,0,0,3,3,3970.0,2014,11,3
679,6,0,0,0,1,1,4140.0,2013,8,3
1031,4,1,0,0,4,1,590.0,2014,10,2
1114,4,1,0,0,1,3,870.0,2015,4,30
125,3,0,0,0,1,1,760.0,2013,1,16
61,2,0,0,1,1,3,350.0,2013,8,6
1011,2,0,0,1,1,3,490.0,2013,10,29
1031,4,0,0,1,4,1,590.0,2014,7,10
862,4,0,0,0,1,3,2840.0,2014,7,10
157,3,0,0,0,1,3,2950.0,2015,6,10
655,1,1,0,1,4,3,960.0,2013,3,25
726,5,1,0,0,1,3,40540.0,2013,6,21
1008,5,1,0,1,1,3,30.0,2014,8,1
25,5,1,0,0,3,1,430.0,2013,3,22
268,6,0,0,0,1,1,4520.0,2014,10,11
852,5,0,0,1,3,1,940.0,2013,7,12
400,5,1,0,1,1,1,70.0,2013,10,25
744,5,0,0,0,1,1,1370.0,2014,5,30
757,4,1,0,0,1,3,3450.0,2013,4,11
851,5,1,0,0,4,3,2330.0,2014,5,23
738,6,0,0,0,4,3,5980.0,2014,3,15
884,2,1,0,0,4,3,7550.0,2014,5,20
328,2,1,0,0,1,1,3130.0,2014,2,4
467,3,1,0,0,1,3,20390.0,2013,11,20
93,1,1,0,0,1,1,16690.0,2013,6,17
271,3,0,0,1,1,1,420.0,2015,4,8
802,6,0,0,0,1,3,910.0,2013,7,6
63,5,1,0,0,3,3,3700.0,2014,12,5
874,4,0,0,0,1,1,3210.0,2014,7,10
665,5,1,0,0,1,1,90.0,2014,5,9
310,3,1,0,0,1,3,2290.0,2015,3,18
169,3,0,0,1,4,1,980.0,2014,12,24
433,4,0,0,1,1,3,30030.0,2015,7,23
474,5,1,0,0,3,1,14810.0,2015,6,19
376,5,1,0,0,1,1,160.0,2014,6,20
318,6,0,0,0,4,3,32330.0,2013,2,2
863,4,1,0,0,1,3,21370.0,2014,9,18
1061,6,0,0,0,4,3,8110.0,2014,10,11
816,3,1,0,0,3,3,460.0,2015,6,3
531,5,0,0,0,1,3,4030.0,2014,2,14
707,6,0,0,0,1,3,2900.0,2014,5,3
891,1,1,0,0,1,3,350.0,2014,10,20
969,6,0,0,0,1,3,600.0,2014,9,13
654,1,1,0,1,3,1,6930.0,2014,8,18
549,2,1,0,0,1,3,2330.0,2015,7,14
855,2,0,0,0,1,1,3440.0,2013,7,23
1096,5,0,0,0,1,3,1130.0,2014,1,31
867,6,0,0,0,4,3,21810.0,2014,3,22
829,5,1,0,0,3,1,110.0,2013,5,17
748,2,0,0,1,4,1,2380.0,2014,12,30
659,6,0,0,0,4,1,1590.0,2015,5,30
477,6,0,0,0,4,1,770.0,2013,12,28
743,1,1,0,0,1,1,6710.0,2013,1,7
956,4,0,0,1,1,1,2330.0,2013,1,3
530,6,0,0,0,1,3,18160.0,2013,1,5
870,4,0,0,0,1,1,780.0,2014,8,28
